firma_adi;adres;telefon;website;domain;birlik
SARPER GÜNAY ENERJİ A.Ş.;AYAZAĞA MAH. MİMAR SİNAN SK.NO: 21 B İÇ KAPI NO: 2 SARIYER İSTANBUL;(212) 9702946;;;ÇİB - Çelik İhracatçıları Birliği
GLOBAL GRUP MAKİNA MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;"FETHİYE MAH. BEYAZ(240)SK. NO;16 İÇ KAPI N.1 NİLÜF NİLÜFER BURSA";(224) 2435243;;;ÇİB - Çelik İhracatçıları Birliği
METAL INOKS PASLANMAZ CELIK MAM.GIDA TEKS.SAN.DIS TIC.L.;DEMIRCILER SIT.3.CD.NO.66 ZEYTİNBURNU İSTANBUL;02125463079;www.metalinoks.com;metalinoks.com;ÇİB - Çelik İhracatçıları Birliği
ALUNİS DIŞ TİCARET LİMİTED ŞİRKETİ;KARLITEPE MAH. SARI SK. NO:3 A KARTAL İSTANBUL;(216) 3065515;;;ÇİB - Çelik İhracatçıları Birliği
GÜRBÜZ VİDA TEKNİK HIRDAVAT SAN. TİC. LTD. ŞTİ.;ORGANİZE SANAYİ BÖLG. BİRLİK SANAYİ SİTESİ 6. CADDE NO 15 BEYLİKDÜZÜ İSTANBUL;(212) 5787900;http://www.gurbuzvida.com;gurbuzvida.com;ÇİB - Çelik İhracatçıları Birliği
TOA MAKİNA SANAYİ DIŞ TİCARET ANONİM ŞİRKETİ;ORHANGAZİ MH MİMSAN SAN SİT 1726 SK NO:31 ESENYURT İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
AKS ANAHTAR KONTAK SANAYİ VE TİCARET A.Ş.;RAMAZANOĞLU MH.SANAYI CD. NO 40 PENDİK İSTANBUL;02165950355;www.akskontak.com.tr;akskontak.com.tr;ÇİB - Çelik İhracatçıları Birliği
EMRE ALÜMİNYUM YAPI SAN. TİC. A.Ş.;ADEMYAVUZ MH ALİ YÜKSEL SK NO:37 YUKARIDUDULLU ÜMRANİYE İSTANBUL;(216) 6101150;www.emrealuminyum.com.tr;emrealuminyum.com.tr;ÇİB - Çelik İhracatçıları Birliği
DERYA AKGÜN;DÜĞMECİLER MAH. BIÇAKÇI EYÜP SOK. NO:49 A BLOK D:2 EYÜP İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
DBB MÜHENDİSLİK ELEKTRİK TAAHHÜT İNŞAAT TİCARET LİMİTED ŞİRKETİ;CEVİZLİ MAH. BAĞDAT CAD. OFİS İSTANBULNO:538 İÇ KAPI NO:8 MALTEPE - İSTANBUL CEVİZLİ 34840 MALTEPE İSTANBUL;(216) 3990322;http://www.dbbmuhendislik.com.tr;dbbmuhendislik.com.tr;ÇİB - Çelik İhracatçıları Birliği
ER FERFORJE SALİH ER;MERKEZ MAH. KAĞITHANE CAD. UĞUR SOK. NO:5/A KAĞITHANE İSTANBUL;(212) 5523181;;;ÇİB - Çelik İhracatçıları Birliği
