firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
ETRA GEMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İÇERENKÖY MAH. UMUT SK. QUICK TOWER SİTESİNO: 10-12 İÇ KAPI NO: 69;İSTANBUL;ATAŞEHİR;(216) 5771301;;;İİB-GEMİ
ESMARİN MAKİNA DENİZ ARAÇLARI KOMPOZİT İNŞ. SAN. VE TİC. LTD;ORGANİZE SAN BÖL. 30.CADDE NO:5;ESKIŞEHIR;ODUNPAZARI;;www.esmarin.com.tr;esmarin.com.tr;İİB-GEMİ
EASYMAR DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ORTA MAH.İSHAKPAŞA CAD. MODSAN SANAYİ SİTESİ A BLOK NO:5/6;İSTANBUL;TUZLA;(216) 5550202;;;İİB-GEMİ
MSI DENİZCİLİK SANAYİ VE TİCARET LTD.ŞTİ.;EVLİYA ÇELEBİ MAH.PELİKAN SOK.TUZLA GEMİ YAN SANAYİ SİTESİ D1 BLOK NO:8 KAPI NO:3;İSTANBUL;TUZLA;(212) 5072121;;;İİB-GEMİ
MARİNGLASS CAM SAN. VE TİC.LTD.ŞTİ.;BALÇIK MAH. 3222 SOK.NO:35;KOCAELI;GEBZE;(262) 0000000;;;İİB-GEMİ
SONAY GEMİ İNŞA SANAYİ TİCARET LİMİTED ŞİRKETİ;CEVİZLİ MAH. MUSTAFA KEMAL CAD. HUKUKÇULAR TOWERS SİT. B BLOK NO: 66B İÇ KAPI NO: 38;İSTANBUL;KARTAL;(216) 0000000;;;İİB-GEMİ
MED MARİNE KILAVUZLUK VE RÖMORKÖR HİZMETLERİ İNŞ.SAN.VE TİC.A.Ş.;ÖMER AVNİ MAH. İNEBOLU SK.NO:21 SETÜSTÜ;İSTANBUL;BEYOĞLU;(212) 2521680;;;İİB-GEMİ
PLATİNUM MARİN SERVİS DENİZCİLİK SAN.VE TİC.A.Ş.;İSTASYON CADDESİ HIRKALILAR APT. NO:103B İSTASYON MAHALLESİ ;İSTANBUL;TUZLA;(216) 4464639;www.platinum-ms.com;platinum-ms.com;İİB-GEMİ
HİCRİ ERCİLİ TERSANECİLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;DEVLET YOLU ALTI MEVKİİ TERSANELER CD. NO:70/2;YALOVA;ALTINOVA;(226) 4615136;;;İİB-GEMİ
BUYURUCU DENİZ TAŞIMACILIĞI TİCARET LİMİTED ŞİRKETİ;KOŞUYOLU MAH. SALİH OMURTAK SK. NO: 38;İSTANBUL;KADIKÖY;(216) 4740777;;;İİB-GEMİ
ONURSAN GEMİ İNŞA ONARIM VE TİCARET LİMİTED ŞİRKETİ; AYDINLI BİRLİK OSB MAHALLESİ 2.SOKAK NO:4 ;İSTANBUL;TUZLA;(216) 3958780;http://www.onursan.net;onursan.net;İİB-GEMİ
TURMAR SORVEY MUSAVIRLIK VE DENIZ TICARET A.S.;İNÖNÜ CAD.TURABOĞLU SK. NO:4/3;İSTANBUL;KADIKÖY;(216) 4114575;www.turmarmarine.com;turmarmarine.com;İİB-GEMİ
ZARA DENİZCİLİK MAĞAZACILIK TURİZM GIDA İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ;ACIBADEM MAHALLESİ ASAFBEY SK. İMER APT. NO.7A ;İSTANBUL;KADIKÖY;(216) 0000000;;;İİB-GEMİ
PRUVA DENİZCİLİK TİC. LTD. ŞTİ.;ESENTEPE MAH. D 100 GÜNEY YAN YOL NO:25/93 ;İSTANBUL;KARTAL;(216) 6886500;;;İİB-GEMİ
BARAN TAKIL - DENİZ AYBARS - HAKAN GÖYENÇ - AYKAN AYDIN ADİ ORTAKLIĞI;KIZILCAŞAR MAH. 1154 CAD. C 56 C;ANKARA;GÖLBAŞI;(312) 4918070;;;İİB-GEMİ
EFE MEKANİK VE YAPI MALZ.SAN.TİC.LTD.ŞTİ.;KAYIŞDAĞI MAH.İSTANBUL CAD.NUMARA:17;İSTANBUL;ATAŞEHİR;(216) 3131001;;;İİB-GEMİ
HERGULLU GIDA TARIM KOZMETİK MOBİLYA KİMYASAL ÜRÜNLER VE GEMİ MALZ. DIŞ TİC.LTD.ŞTİ;HARBİYE MAH. CUMHURİYET CAD. KAHAN APT NO:40/5;İSTANBUL;ŞİŞLİ;(212) 7053640;;;İİB-GEMİ
