firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
PELAGOS AKVARYUM SAN. VE TİC. LTD. ŞTİ.;KINALI CAD. BİRLİK SOK. NO: 3/1;İSTANBUL;GÜNGÖREN;(212) 6373930;www.pelagos.com.tr;pelagos.com.tr;İİB-SU ÜRÜNLERİ
KAZANCIGİL GIDA SAN. VE DIŞ TİC.LTD.ŞTİ.;KOCATEPE MAH.YAĞ İSKELESİ CAD.C-27 BLOK SİT.NO:31/18;İSTANBUL;BAYRAMPAŞA;(212) 6407178;www.kazancigil.com;kazancigil.com;İİB-SU ÜRÜNLERİ
KARTAL KIMYA SAN.VE TIC.A.Ş.;BALÇIK KÖYÜ PELİTLİ YOLU CAD.NO.140;KOCAELI;GEBZE;(262) 7512020;www.kartalkimya.com.tr;kartalkimya.com.tr;İİB-SU ÜRÜNLERİ
ER PİLİÇ ENTEGRE TAVUKÇULUK ÜRETİM PAZ. TİC. A.Ş;DOĞANCI MH. MUDURNU YOLU 7.KM 67/H;BOLU;MERKEZ;(374) 4573260;www.erpilic.com.tr;erpilic.com.tr;İİB-SU ÜRÜNLERİ
ALTIPARMAK GIDA SAN. VE TİC. A.Ş.;ÇAVUŞBAŞI CD. NO:70 34782;İSTANBUL;ÇEKMEKÖY;(216) 6430202;www.altiparmak.com.tr;altiparmak.com.tr;İİB-SU ÜRÜNLERİ
VARİOLİNE İSTANBUL DIŞ TİC.A.Ş;ÇAYIR CAD.ÖZCE CENTER NO:3/7;İSTANBUL;ATAŞEHİR;(216) 5728282;www.varioline.com.tr;varioline.com.tr;İİB-SU ÜRÜNLERİ
BALIKESİR ONUR SÜT VE PETROL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;PAŞAKÖY MAH.PAŞAKÖY MÜCAVİR SOK.NO:316;BALIKESIR;ALTIEYLÜL;(266) 2672146;www.onursut.com.tr;onursut.com.tr;İİB-SU ÜRÜNLERİ
REHA SÜT ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;TURAN MAH. ORG. SAN. BÖLGESİ TOSBİ YOL 5.SK. NO:26;İZMİR;TİRE;(232) 5135400;www.rehamilk.com;rehamilk.com;İİB-SU ÜRÜNLERİ
SUPERSOL BİYOTEKNOLOJİ A.Ş.;AHMEDİYE MAH. DAĞDİBİ SOK. NO:68  ;SAKARYA;ARİFİYE;(264) 9991900;www.supersol.com.tr;supersol.com.tr;İİB-SU ÜRÜNLERİ
DARDANEL DIŞ TİCARET AŞ;"BOĞAZKENT MAHALLESİ, 2. DARDANEL CADDESİNUMARA: 1";ÇANAKKALE;MERKEZ;(286) 2636666;http://www.dardanel.com.tr;dardanel.com.tr;İİB-SU ÜRÜNLERİ
AKEL DERİ TEKS. SAN. VE DIŞ TİC. LTD. ŞTİ.;DERİ ORG.SAN.BÖL.1.YOL V11-2PARSEL KAT:2 NO:7;İSTANBUL; ;(216) 3940999;www.akelderi.com;akelderi.com;İİB-SU ÜRÜNLERİ
SAHRA GIDA İNŞ.VE TAAH.SAN.TİC.LTD.ŞTİ;MESİHPAŞA MAH.MESİHPAŞA CAD.NO:1 KAT:2 ;İSTANBUL;FATİH;(212) 5176666;www.sahra.com.tr;sahra.com.tr;İİB-SU ÜRÜNLERİ
