firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
HACIBABA LOKUMLARI GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;ULUS MAH. ÇATALCA YOLU CAD. NO:592/1;İSTANBUL;BÜYÜKÇEKMECE;(212) 8610605;;;İİB-KURU MEYVE
DİVAN TURİZM İŞLETMELERİ .A.Ş;SARAY MH.DR.FAZIL KÜÇÜK CD.NO:15;İSTANBUL;ÜMRANİYE;(216) 5226300;;;İİB-KURU MEYVE
EBİ DIŞ TİC.A.Ş;GÖKEVLER MAH. 2331 SOK SOK PASİAD SİT NO:1 M ;İSTANBUL;ESENYURT;(212) 6405586;;;İİB-KURU MEYVE
FFT GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;ESENTEPE MAH. YÜZBAŞI KAYA ALDOĞAN SK. SERHAN APT.NO:3 İÇ KAPI NO:4;İSTANBUL;ŞİŞLİ;(212) 0000000;;;İİB-KURU MEYVE
CLK WORLDWIDE LOJİSTİK VE TİCARET ANONİM ŞİRKETİ;KERESTECİLER SİTESİ FATİH CADSELVİ SOKAK NO:24;İSTANBUL;GÜNGÖREN;(212) 4544646;;;İİB-KURU MEYVE
LİNK BUSİNESS GIDA ÜRÜNLERİ PAZARLAMA DIŞ TİCARET VE DANIŞMANLIK LİMİTED ŞİRKETİ;MALTEPE MAH. ESKİ ÇIRPICI YOLU SK. NO: 3 B İÇ KAPINO:136;İSTANBUL;ZEYTİNBURNU;(212) 8901722;;;İİB-KURU MEYVE
MTC KURUYEMİŞ TARIM ÜRÜNLERİ GIDA TEKSTİL SAN. İÇ VE DIŞ TİC.LTD.ŞTİ.;SANAYİ MAH. 60114 NOLU CAD. NO: 61;GAZIANTEP;ŞEHİTKAMİL;(342) 0000000;;;İİB-KURU MEYVE
EREKS IHR. ITH. VE TIC. A.Ş.;BAĞDAT CAD. KÜÇÜAĞA SK. IFFETAPT. NO:2/1 D:3.ŞAŞKINBAKKAL MEVKİİ;İSTANBUL;KADIKÖY;(216) 3639500;www.ereks.com.tr;ereks.com.tr;İİB-KURU MEYVE
KURTSAN GIDA TARIM ÜRÜNLERI IMALAT ITH.IHR SAN VE TIC LTD;IZMIR YOLU 23.KM;BURSA; ;(224) 4951295;;;İİB-KURU MEYVE
ÖZ YEKSEK TOP.MAH.VE NAK.TİC.LTD.ŞTİ.;DUMLUPINAR MAH.KADİRLİ CAD.OTOBAN KAVŞAĞI NO:221 ;OSMANIYE;OSMANİYE;(328) 8142940;;;İİB-KURU MEYVE
NİMS GIDA SAN VE TİC.A.Ş;DERİ OSB MAH. KAZLIÇEŞME NO:21;İSTANBUL;TUZLA;(216) 0000000;;;İİB-KURU MEYVE
