firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
TAŞKIN AŞNAZ;İNÖNÜ MAH.KAYIŞDAĞI CAD. NO:186 /4 ;İSTANBUL;ATAŞEHİR;(216) 5756336;;;İİB-FINDIK
NEFİS GOLDEN KURUYEMİŞ GIDA İTH. İHR. SAN. VE TİC. LTD. ŞTİ.;AKÇABURGAZ MAH. AKÇABURGAZ CAD. NO: 20 AN;İSTANBUL;ESENYURT;;;;İİB-FINDIK
CLK WORLDWIDE LOJİSTİK VE TİCARET ANONİM ŞİRKETİ;KERESTECİLER SİTESİ FATİH CADSELVİ SOKAK NO:24;İSTANBUL;GÜNGÖREN;(212) 4544646;;;İİB-FINDIK
DBM DIŞ TİC. VE MÜMESSİLLİK LTD. ŞTİ.;KURU ÇEŞME CAD.NO:14/2A;İSTANBUL;BEŞİKTAŞ;(212) 2631753;www.tailormadeturkey.com;tailormadeturkey.com;İİB-FINDIK
YEŞİL GIDA KOZMETİK DAĞITIM PAZARLAMA- ZAFER YEŞİL;ADEMYAVUZ MAH.KOÇYİĞİT SK. SERAKENT A9 BL.BLOK NO.6 D:A;İSTANBUL;ÜMRANİYE;(216) 3473838;;;İİB-FINDIK
FERRERO FINDIK İTHALAT İHRACAT VE TİCARET A.Ş.;ÇARŞI KAZANCILAR SOKAK NO:10;TRABZON;ORTAHİSAR;(462) 3214500;;;İİB-FINDIK
ENTEGRE GIDA SANAYİ ANONİM ŞİRKETİ;ALACAKAPI MAH. KIRKGÖZ CAD. NO:33;MALATYA;BATTALGAZİ;(422) 3810131;www.entegre.com;entegre.com;İİB-FINDIK
GÜMÜŞ GIDA SAN. VE TIC. A.Ş.;KARADENIZ MH.ERTUĞRUL GAZI CD.N:10;İSTANBUL;GAZİOSMANPAŞA;(212) 4793117;;;İİB-FINDIK
ANKA NUTS GIDA SANAYI VE TICARET ANONIM SIRKETI;YAKA MAH.CUMHURIYET CAD.NO:78;İSTANBUL;ATAŞEHİR;(380) 7353334;;;İİB-FINDIK
USLU GIDA SAN.VE TIC.LTD.ŞTI.;VATAN MAH .ESENLER  CAD.SEYMEN SOKNO:1;İSTANBUL;BAYRAMPAŞA;(212) 5676102;;;İİB-FINDIK
HATAY ASİ KÜNEFE VE GIDA SANAYİ TİC.LTD.;KOCATEPE MAH. GÜMRÜK İSKELESİ CAD. MEGACENTER SİT A BLOK NO:89 ;İSTANBUL;BAYRAMPAŞA;(212) 6403600;;;İİB-FINDIK
ALOTED GIDA TEDARİK TUR.VE ORG.HİZM.SAN.TİC.LTD.ŞTİ.;MEHMETAKİF ERSOY MAH.SİRİN SOK.NO:7/A;İSTANBUL;KAĞITHANE;(212) 2193641;;;İİB-FINDIK
TURAL GRUP DIŞ TİC.LTD.ŞTİ;TAYFUN SOK.NO:3 D:1 KORÜTÜRK MAH.;İZMİR;BALÇOVA;(232) 4451546;http://www.turaltrade.com;turaltrade.com;İİB-FINDIK
ÇAKMAKLAR GIDA SAN.VE TİC.LTD. ŞTİ.;ÜNYE-SAMSUN KARAYOLU 9.KM CURİMEVKİİ;ORDU;ÜNYE;0-452-3424241;www.cakmaklarfindik.com;cakmaklarfindik.com;İİB-FINDIK
HANLAR GIDA İNŞAAT TEKSTİL TURİZM TİC. LTD. ŞTİ.;ARABACI BEYAZIT MAH.K.M PAŞACAD.NO:280/2;İSTANBUL; ;(212) 5171018;;;İİB-FINDIK
OFİ TARIM SAN. VE TİC. A.Ş.;50.YIL MH.2743 SK.PEKTAŞ STATÜ N:19 K:5/15;MERSIN;YENİŞEHİR;(324) 3264234;www.progida.com.tr;progida.com.tr;İİB-FINDIK
