firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
KARDEZ SU ÜRÜNLERI SAN. VE TIC LTD. ŞTI.;AYVACIK YOLU 4.KM.;SAMSUN;ÇARŞAMBA;03628331864;;;İİB-SU ÜRÜNLERİ
TEKFEN İNŞAAT VE TESİSAT AŞ;ULUS MAH.TEKFEN SİTESİ B BLOK;İSTANBUL;BEŞİKTAŞ;(212) 3593500;;;İİB-SU ÜRÜNLERİ
İDA GIDA TARIMSAL ÜRETİM İÇ VE DIŞ PAZ. A.Ş.;CEVATPAŞA MAH M.AKİF ERSOY CAD. NO:5-11;ÇANAKKALE;MERKEZ;(286) 5226416;;;İİB-SU ÜRÜNLERİ
ENKA İNŞ.VE SAN.A.Ş;BALMUMCU BESTEKAR ŞEVKİBEY SOKENKA 1 BİNASI;İSTANBUL;BEŞİKTAŞ;(212) 2742540;;;İİB-SU ÜRÜNLERİ
AKDU SÜT ÜRÜNLERİ SAN. VE TİC. A.Ş.;İZMİR-ÇANAKKALE YOLU CAD. KABAKUM MAH.NO:181/A ;İZMİR;DİKİLİ;(232) 6757007;www.akdusut.com;akdusut.com;İİB-SU ÜRÜNLERİ
YASİR TİC.GIDA VE TEMİZLİK ÜRÜN.PAZ SAN LTD.ŞTİ;EYÜP SULTAN MAH. ABDULHAMİT CAD. GÜLSU SOK NO:7;İSTANBUL;SANCAKTEPE;(216) 5407474;;;İİB-SU ÜRÜNLERİ
KARDEA SAĞLIK HİZMETLERİ İTHALAT İHRACAT VE TİCARET LİMİTED ŞİRKETİ;BARBAROS MAH. LALE SK. AĞAOĞLU MY OFFİCE NO:2 D:13;İSTANBUL;ATAŞEHİR;(212) 9242410;;;İİB-SU ÜRÜNLERİ
AKŞEKER TARIM ET ENTEGRE TES.NAK.GI.İTH.İHR.A.Ş.;ÇOMAKLI MH. 17122 SK. NO:6 İÇ KAPI:F1;KONYA;MERAM;(332) 3550701;;;İİB-SU ÜRÜNLERİ
EKER SÜT ÜRÜNLERI GIDA SAN.TIC A.Ş.;ODUNLUK MAH. ERDOĞANBİNYÜCEL CAD.NO:13/A NİLÜFER;BURSA;NİLÜFER;(224) 4512727;www.eker.com;eker.com;İİB-SU ÜRÜNLERİ
CARGILL TARIM SAN. VE TİC. AŞ;KISIKLI CAD.NO:4 A BLOKBÖLÜM 8-9-10-11;İSTANBUL;ÜSKÜDAR;(216) 5541800;www.cargill.com.tr;cargill.com.tr;İİB-SU ÜRÜNLERİ
HOLİMER İLAÇ VE SAĞLIK HİZMETLERİ SANAYİ VE TİCARET A.Ş.;NİSPETİYE MAH. NİSBETİYE CAD. ÖZDEN İŞ MERKEZİ NO:22İÇ KAPI:3;İSTANBUL;BEŞİKTAŞ;(212) 2135513;;;İİB-SU ÜRÜNLERİ
JUBBA MARKETÇİLİK GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ;TAHTAKALE MAH.FIRAT 1 CAD.NO :6 İÇ KAPI NO :157;İSTANBUL;AVCILAR;(212) 0000000;;;İİB-SU ÜRÜNLERİ
KAANLAR GIDA SAN.VE TIC.A.Ş.;KOCATEPE MAH.MEGA CENTER İŞMERKEZİ C 12 BLOK  NO:99;İSTANBUL;BAYRAMPAŞA;(212) 4370090;www.kaanlar.com.tr;kaanlar.com.tr;İİB-SU ÜRÜNLERİ
DELİKIR ATLI SPOR KULÜBÜ ORG.TUR.ÖZ.EĞİ.KUR.TİC.LTD.ŞTİ;ALİBEY MAH. AYVALIK KIRI MEVKİİ ;İSTANBUL;SİLİVRİ;;www.silivriatlispor.com;silivriatlispor.com;İİB-SU ÜRÜNLERİ
ERGUC GIDA SAN VE TİC.LTD.ŞTİ.;ECE  MEVKİİ LOFCA SOK NO:83;ÇANAKKALE;BİGA;(286) 3228691;;;İİB-SU ÜRÜNLERİ
KAR KIMYA SAN.VE PAZ.TIC. LTD.STI.;BIRLIK SAN.SIT.5.CAD.NO.36;İSTANBUL;BÜYÜKÇEKMECE;02128762288;;;İİB-SU ÜRÜNLERİ
