firma_adi;adres;telefon;website;domain;birlik
ALTINKUM KUYUMCULUK VE TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ;ŞEREFEFENDİ SOK. NO:24 ALTINCENTER 1/6 MOLLAFENARİ FATİH İSTANBUL;(212) 5279617;;;JTR - Mücevher İhracatçıları Birliği
ALTINOK KUYUMC.OTOM.ELEK.DERI VE TEKS.SAN.TIC.LTD.STI.;KUYUMCUKENT KOMPLEKSİ ATÖLYE BLOK5.KAT 1.SOK. NO.12 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 5162475;www.altınokalyans.com;altınokalyans.com;JTR - Mücevher İhracatçıları Birliği
ALTINZEBA KUYUMCULUK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH. LADİN SK. NO:4 M/1182 BAHÇELİEVLER İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
ALYA SAAT KUYUMCULUK TURIZM SANAYI VE TICARET LIMITED SIRKETI;BEYAZIT MAH. AGA SK. VARAKÇI HAN NO: 53 IÇ KAPI NO:7 FATİH İSTANBUL;(212) 5202417;;;JTR - Mücevher İhracatçıları Birliği
ALZAGOLD KUYUMCULUK VE SANAYİ TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH.KUYUMCULAR SK.İSTANBUL VİZYONPARK GENEL MERKEZ PLAZA BLOK NO:4 İÇ KAPI NO:0924 BAHÇELİEVLER İSTANBUL;(212) 6035916;;;JTR - Mücevher İhracatçıları Birliği
ANADOLU KUMLAMA YÜZEY İŞLEME METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MİMAR SİNAN MAH.ÜSKÜDAR CAD.YEDPA TİC.MERKZ. H1/1 NO:35 ATAŞEHİR İSTANBUL;(216) 7067072;;;JTR - Mücevher İhracatçıları Birliği
ANATOLIA LAMPS AYDINLATMA LTD.ŞTİ.;FATİH MAH.BURSA CAD. NO.11/A SULTANBEYLİ İSTANBUL;(216) 3986874;;;JTR - Mücevher İhracatçıları Birliği
ANDAÇ GÜMÜŞÇÜLÜK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MOLLAFENARİ MAH. KÜRKÇÜLER PAZARI SOKYEŞİLSARAY İŞ MERKEZİ NO.29 EMİNÖNÜ/CAĞALOĞLU FATİH İSTANBUL;(212) 5198932;www.andacsilver.com;andacsilver.com;JTR - Mücevher İhracatçıları Birliği
ANFORA KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MIMAR KEMALETTIN MAH.ORDU CAD.NO:29 D.10 KENT OTEL NO:29/601 FATİH İSTANBUL;(212) 6382666;;;JTR - Mücevher İhracatçıları Birliği
ANIL RECEP TEZCİ;YENİBOSNA MERKEZ MAH. KUYUMCULAR SK. NO:7İÇ KAPI NO:27 BAHÇELİEVLER İSTANBUL;(212) 6032153;;;JTR - Mücevher İhracatçıları Birliği
