firma_adi;adres;telefon;website;domain;birlik
LYS ECA DIŞ TİCARET LİMİTED ŞİRKETİ;KÜPLÜCE MAH. BEYBOSTANI SK. KARADENİZ APT NO 21/C ÜSKÜDAR İSTANBUL;(216) 0000000;http://www.lyseca.com;lyseca.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği
EYYÜPOĞLU ALÜMİNYUM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GÜLLÜBAĞLAR MAH.MEMLÜK SOK.N:17 PENDİK İSTANBUL;;www.eyyupoglu.com.tr;eyyupoglu.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ALUGLAS DIŞ TİCARET ANONİM ŞİRKETİ;NECİP FAZIL MH NECİP FAZIL BULVARI SULTAN İS MERKEZİ NO:5/46 ÜMRANİYE İSTANBUL;(216) 4666069;www.alugas.com.tr;alugas.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
ANADOLU GAZ LİMİTED ŞİRKETİ;MALTEPE MAH.SİTE 1 SOK.ÇALIK SANAYİ SİT.N:23/A-B ZEYTİNBURNU İSTANBUL;(212) 6126084;http://www.fodinoxmutfak.com;fodinoxmutfak.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
AK-İŞ BOYA SANAYİİ VE TİCARET ANONİM ŞİRKETİ;DEMIRTAŞ ORG. SAN. BÖLG. ALIOSMAN SÖNMEZ CAD. NO:4 OSMANGAZİ BURSA;02242610537;akisboya.com.tr;akisboya.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
ASİMETRİK SES IŞIK VE GÖRÜNTÜ SİSTEMLERİ ANONİM ŞİRKETİ;İLKBAHAR MAH. 622 SOK. NO:4 ÇANKAYA ANKARA;03124909101;www.asimetrik.com.tr;asimetrik.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
AN KARDEŞLER ENERJİ VE YAPI ANONİM ŞİRKETİ;YENİ SAN.SİT.A-4 BLOK NO:66 LÜLEBURGAZ KIRKLARELİ;(288) 4170757;www.ankakardesler.com.tr;ankakardesler.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
HETA OTOMASYON MAKİNA LİMİTED ŞİRKETİ;KURUÇEŞME MH BUĞDAY SK NO:10/5 BEŞİKTAŞ İSTANBUL;(212) 0000000;http://heta.com.tr;heta.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ÖZGÜN İNŞAAT TAAHHÜT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GAYRETTEPE MH GÖNENOĞLU SK NO :7 GAYRETTEPE BEŞİKTAŞ İSTANBUL;(212) 2753737;www.ozguntr.com;ozguntr.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
KIRAÇ OTOMASYON ELEKTRİK ELEKTRONİK SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;HASANPOLATKAN CAD. NO.3/C TEPEBAŞI ESKİŞEHİR;(222) 2361500;www.kiracelektrik.com;kiracelektrik.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ALTINKAYA ELEKTRONİK CİHAZ KUTULARI SAN. TİC. A.Ş.;AHİ EVRAN OSB MAH.SİNCAN 1 OSB AVAR CAD. NO:7 YENİMAHALLE ANKARA;(312) 3952768;www.altinkaya.com.tr;altinkaya.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ASIL POLIMER TEKNIK PLASTIK MAKINA SAN.VE TIC.LTD.STI.;SULTAN ORHAN M.KUCUK SAN.SITA.13 BLOK NO.13 GEBZE KOCAELİ;02626429224;www.asilpolimer.com;asilpolimer.com;ÇİB - Çelik İhracatçıları Birliği
BOLLU PLASTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;O.S.B.MAH. 5. CAD. NO:37 BEYLİKDÜZÜ İSTANBUL;(212) 8752713;www.bolluplastik.com.tr;bolluplastik.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
AKDENİZ SERGİLEME VE RAF SİSTEMLERİ İTHALAT İHRACAT TİC. LTD. ŞTİ.;AGACISLERI SAN.BASKISLA SOK.74 SELÇUKLU KONYA;03322366166;www.akdenizhali.com;akdenizhali.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
TASARIM YAPI SAUNA HAVUZ INŞ. SAN.IÇ VE DIŞ TIC.LTD.ŞTI;ATATÜRK BULV. NO:100 B-104 İKİTELLİ OSB 34260 İKİTELLİ BAŞAKŞEHİR İSTANBUL;(212) 4860666;www.juno.com.tr;juno.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
SVS ALÜMİNYUM YAPI VE İNŞ.SAN. VE TİC.LTD.ŞTİ.;NECİP FAZİL MH SARIGAZİ YOLU CD NO:7A ÜMRANİYE İSTANBUL;(216) 5273636;www.svsyapi.com.tr;svsyapi.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
