firma_adi;adres;telefon;website;domain;birlik
QVV MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;GÜZELYALI MAH TÜRKELİ SOKAK NO:27/A PENDİK İSTANBUL;(216) 4440985;http://qvv.com.tr;qvv.com.tr;ÇİB - Çelik İhracatçıları Birliği
MİM PROJE HAFRİYAT İNŞAAT TAAHHÜT MÜHENDİSLİK NAKLİYAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;CUMHURİYET MAH. BÜLENT ECEVİT CADDESİ NO:15/25 ÇAN ÇANAKKALE;(286) 2170330;http://www.miminsaat.com;miminsaat.com;ÇİB - Çelik İhracatçıları Birliği
KARTAL GÜNEŞ ENERJİ SİSTEMLERİ ÇELİK KONSTRÜKSİYON İMALAT SANAYİ VE TİCARET LTD. ŞTİ.;DAĞYAKA MAH. 2034. SOK. NO: 6/1-2-3 KAHRAMANKAZAN ANKARA;(312) 3856724;http://www.kartalges.com.tr;kartalges.com.tr;ÇİB - Çelik İhracatçıları Birliği
FLEXURE FIT YAPI MALZEMELERİ SANAYİ LİMİTED ŞİRKETİ;CAFERAĞA MAH. ŞİFA SK. NO: 19 KADIKÖY İSTANBUL;(850) 2552456;http://www.flexurefit.com;flexurefit.com;ÇİB - Çelik İhracatçıları Birliği
ARETİAS GÖLGE SİSTEMLERİ SAN. VE DIŞ TİC. LTD. ŞTİ.;İKİTELLİ OSB MH HESKOOP SAN SİT S1 BLOK NO:6 BAŞAKŞEHİR İSTANBUL;(212) 4851597;www.aretiastente.com;aretiastente.com;ÇİB - Çelik İhracatçıları Birliği
TEKFIX FASTENINGS DIŞ TİCARET LİMİTED ŞİRKETİ;DERİ OSB MAH. İSTİF SK. İSTANBUL DERİ OSB SİTESİXV. BLOK NO: 1 İÇ KAPI NO: 28 TUZLA TUZLA İSTANBUL;(216) 5910235;www.tek-fix.com;tek-fix.com;ÇİB - Çelik İhracatçıları Birliği
BES YAPI ÜRÜNLERİ SANAYİ ANONİM ŞİRKETİ;CARSI MH. KIYI SK N:2/A YAKACIK KARTAL İSTANBUL;(216) 5933500;www.gfs.com.tr;gfs.com.tr;ÇİB - Çelik İhracatçıları Birliği
CALDİNİ KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;PELİTLİ SANAYİ SOK NO.32 KÖYLER GEBZE KOCAELİ;(262) 7510099;www.caldini.com.tr;caldini.com.tr;ÇİB - Çelik İhracatçıları Birliği
MERIDYEN ITH.MUMESSILLIK TAAH. TURIZM SANAYI VE TICARET A.S.;DEMIRCILER SITESI 7.YOL NO.62 ZEYTİNBURNU İSTANBUL;02126647304;www.meridyenas.com.tr;meridyenas.com.tr;ÇİB - Çelik İhracatçıları Birliği
EUROSAN SU ARITMA SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;FERHATPAŞA MAHALLESİ G-91 SOKAK NO:18-A ATAŞEHİR İSTANBUL;(216) 4998466;www.eurosan.com.tr;eurosan.com.tr;ÇİB - Çelik İhracatçıları Birliği
